molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL598001,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3s2)cc1,inactive,25000.0
CHEMBL597599,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2nc3ccc(C4=NCCCN4)cc3[nH]2)cc1,inactive,28000.0
CHEMBL597802,N#Cc1ccc(Oc2ccc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2)c(Cl)c1,inactive,30000.0
CHEMBL597599,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2nc3ccc(C4=NCCCN4)cc3[nH]2)cc1,inactive,41000.0
CHEMBL354449,c1cc(-c2cc3ccc(C4=NCCN4)cc3s2)ccc1C1=NCCN1,inactive,43000.0
CHEMBL597792,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCCN4)cc3[nH]2)cc1,inactive,43000.0
CHEMBL597610,COc1ccc(Oc2ccc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2)cc1,inactive,45000.0
CHEMBL598002,Clc1ccc(Oc2ccc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2)c(Cl)c1,inactive,52000.0
CHEMBL603464,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCCN4)cc3s2)cc1,inactive,54000.0
CHEMBL606405,NCCNc1ccc(Oc2ccc(-c3nc4ccc(C5=NCCN5)cc4s3)cc2)cc1,inactive,56000.0
CHEMBL598622,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCCN4)cc3[nH]2)nc1,inactive,67000.0
CHEMBL603251,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)nc1,inactive,69000.0
CHEMBL598231,N#Cc1ccc(Oc2ccc(-c3cc4ccc(C#N)cc4[nH]3)cc2)cc1,inactive,100000.0
CHEMBL604103,NC(=O)c1ccc(Oc2ccc(-c3cc4ccc(C(N)=O)cc4[nH]3)cc2)cc1,inactive,100000.0
CHEMBL599436,N#Cc1ccc(Oc2ccc(-c3cc4ccc(C#N)cc4[nH]3)nc2)cc1,inactive,100000.0
CHEMBL598621,N#Cc1ccc(Oc2ccc(-c3cc4ccc(C#N)cc4[nH]3)cc2)c(Cl)c1,inactive,100000.0
CHEMBL597398,Clc1ccc2cc(-c3ccc(Oc4ccc(C5=NCCN5)cc4)cc3)[nH]c2c1,inactive,100000.0
CHEMBL599856,N#Cc1ccc2cc(-c3ccc(Oc4ccc(F)cc4)cc3)[nH]c2c1,inactive,100000.0
CHEMBL605845,NC(=O)c1ccc2cc(-c3ccc(Oc4ccc(F)cc4)cc3)[nH]c2c1,inactive,100000.0
CHEMBL603312,N=C(N)c1ccc2cc(-c3ccc(Oc4ccc(F)cc4)cc3)[nH]c2c1,inactive,100000.0
CHEMBL603247,Fc1ccc(Oc2ccc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2)cc1,inactive,100000.0
CHEMBL598433,COc1ccc(Oc2ccc(-c3cc4ccc(C(N)=O)cc4[nH]3)cc2)cc1,inactive,100000.0
CHEMBL598634,COc1ccc(Oc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,inactive,100000.0
CHEMBL1163029,c1cc(-c2cc3ccc(C4=NCCCN4)cc3[nH]2)ccc1C1=NCCCN1,inactive,100000.0
CHEMBL1163030,c1cc(-c2cc3ccc(C4=NCCCN4)cc3s2)ccc1C1=NCCCN1,inactive,100000.0
CHEMBL599053,NC(=O)c1ccc2nc(-c3ccc(Oc4ccc(F)cc4)cc3)sc2c1,inactive,100000.0
CHEMBL603251,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)nc1,inactive,100000.0
CHEMBL598622,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCCN4)cc3[nH]2)nc1,inactive,100000.0
CHEMBL237370,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,active,410.0
CHEMBL599255,CCOc1ccc(C(Nc2cccnc2)c2cc(Cl)c3cccnc3c2O)cc1,active,500.0
CHEMBL591192,NCCCCCCCNCCCCCCCNC(=O)c1cc(CCC(=O)NO)c(CCC(O)(c2ccccc2)c2ccccc2)[nH]1,active,1000.0
CHEMBL1688557,Oc1c(C(Nc2cccc3cccnc23)c2ccccc2)ccc2cccnc12,intermediate,3200.0
CHEMBL1688557,Oc1c(C(Nc2cccc3cccnc23)c2ccccc2)ccc2cccnc12,intermediate,3900.0
CHEMBL1688558,Oc1c(C(Nc2ccccn2)c2ccccc2)ccc2cccnc12,intermediate,1600.0
CHEMBL1688558,Oc1c(C(Nc2ccccn2)c2ccccc2)ccc2cccnc12,intermediate,1500.0
CHEMBL1688559,Oc1c(C(Nc2cccnc2)c2ccc(C(F)(F)F)cc2)ccc2cccnc12,intermediate,4700.0
CHEMBL1688559,Oc1c(C(Nc2cccnc2)c2ccc(C(F)(F)F)cc2)ccc2cccnc12,intermediate,5000.0
CHEMBL1688560,Oc1c(C(Nc2cccnc2)c2ccccc2F)ccc2cccnc12,intermediate,3900.0
CHEMBL1688560,Oc1c(C(Nc2cccnc2)c2ccccc2F)ccc2cccnc12,intermediate,2400.0
CHEMBL599255,CCOc1ccc(C(Nc2cccnc2)c2cc(Cl)c3cccnc3c2O)cc1,intermediate,2100.0
CHEMBL599255,CCOc1ccc(C(Nc2cccnc2)c2cc(Cl)c3cccnc3c2O)cc1,intermediate,1600.0
CHEMBL1761333,C=C(C)[C@@H]1CC[C@]2(COC(=O)CCC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,intermediate,1500.0
CHEMBL1076486,C=C(C)[C@@H]1CC[C@]2(COC(=O)COc3cc(C(C)C)ccc3C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,inactive,10000.0
CHEMBL269277,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,inactive,20000.0
CHEMBL295602,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,inactive,100000.0
CHEMBL431525,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,inactive,100000.0
CHEMBL1933865,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1I,intermediate,7200.0
CHEMBL116847,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1,inactive,100000.0
CHEMBL1933866,N#C/C(=C\c1cccc(I)c1)c1nc2ccccc2[nH]1,inactive,100000.0
CHEMBL1933867,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1Br,inactive,100000.0
CHEMBL1933868,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1Cl,inactive,100000.0
CHEMBL1933869,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1F,inactive,100000.0
CHEMBL1933870,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1OC,inactive,100000.0
CHEMBL1933871,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc(Cl)c1O,inactive,59000.0
CHEMBL1933872,COc1cc(-c2ccc(/C=C(\C#N)c3nc4ccccc4[nH]3)cc2)cc(Br)c1O,inactive,94000.0
CHEMBL1933873,N#C/C(=C\c1ccc(-c2ccccc2)cc1)c1nc2ccccc2[nH]1,inactive,86000.0
CHEMBL1933874,N#C/C(=C\c1ccc(-c2ncc[nH]2)cc1)c1nc2ccccc2[nH]1,inactive,73000.0
CHEMBL1933875,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc(OC)c1OC,inactive,100000.0
