molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3264507,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(CCCNc4ccnc5cc(Cl)ccc45)CCC[C@@H](C)[C@H]4CC[C@H]5[C@H]6[C@H](C[C@H](OC(C)=O)[C@@]54C)[C@@]4(C)CC[C@@H](N)C[C@H]4C[C@H]6OC(C)=O)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,active,1155.0599999999995,12.963599999999985,3.0,13.0,6.200659450546418
CHEMBL3309329,ONCC12CC3CC(CC(C3)C1)C2,intermediate,181.27899999999997,2.1816000000000004,2.0,2.0,5.795880017344075
CHEMBL3311534,NCC(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,242.278,2.3761,2.0,3.0,3.7878123955960423
CHEMBL3309329,ONCC12CC3CC(CC(C3)C1)C2,intermediate,181.27899999999997,2.1816000000000004,2.0,2.0,5.823908740944319
CHEMBL3311534,NCC(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,242.278,2.3761,2.0,3.0,3.58838029403677
CHEMBL3309327,C=CC(=O)Nc1cccnc1,inactive,148.16499999999996,1.2060999999999997,1.0,2.0,4.318758762624412
CHEMBL2426254,C=CC(=O)Nc1ccccn1,inactive,148.165,1.2061,1.0,2.0,4.0
CHEMBL3309326,O=C(NCc1ccc(-c2ccccc2)cc1)c1nc[nH]n1,inactive,278.315,2.401699999999999,2.0,3.0,3.677780705266081
CHEMBL3309325,COc1ccc(OC)c(Cn2cnc(C(=O)NCc3ccc(-c4ccccc4)cc3)n2)c1,inactive,428.4920000000001,3.9406000000000025,1.0,6.0,4.3979400086720375
CHEMBL3309324,O=C1C=CC(=O)C(Nc2ccccn2)=C1,inactive,200.19700000000003,1.0854,1.0,4.0,4.013228265733755
CHEMBL3309323,COC(=O)c1cccc(NC2=CC(=O)C=CC2=O)n1,inactive,258.23299999999995,0.8719999999999999,1.0,6.0,4.853871964321762
CHEMBL3309322,O=C(NCc1ccc(Oc2ccccc2)cc1)c1ccccn1,inactive,304.34900000000005,3.8039000000000023,1.0,3.0,3.2441251443275085
CHEMBL3309321,COc1ccc(OC)c(Nc2cccc(C(=O)NCc3ccc(Oc4ccccc4)cc3)n2)c1,inactive,455.5140000000002,5.564700000000005,2.0,6.0,3.6989700043360187
CHEMBL3309320,COc1ccc(OC)c(CNCC(=O)Nc2cccc(OCc3ccccc3)c2)c1,inactive,406.48200000000014,4.0111000000000026,2.0,5.0,4.6020599913279625
CHEMBL3311538,O=C1C=CC(=O)C(Cn2cnc(C(=O)NCc3ccc(-c4ccccc4)cc3)n2)=C1,intermediate,398.4220000000001,2.509500000000001,1.0,6.0,5.6020599913279625
CHEMBL3311537,O=C1C=CC(=O)C(Nc2cccc(C(=O)NCc3ccc(Oc4ccccc4)cc3)n2)=C1,intermediate,425.44400000000013,3.8077000000000023,2.0,6.0,5.638272163982407
CHEMBL3311536,O=C1C=CC(=O)C(CNCC(=O)Nc2cccc(OCc3ccccc3)c2)=C1,inactive,376.41200000000015,2.4280999999999997,2.0,5.0,4.7447274948966935
CHEMBL3311535,NCC(=O)NCc1ccc(-c2ccccc2)cc1,inactive,240.306,1.9284999999999999,2.0,2.0,3.795880017344075
CHEMBL3311534,NCC(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,242.278,2.3761,2.0,3.0,3.9208187539523753
CHEMBL3311533,NCC(=O)Nc1cccc(OCc2ccccc2)c1,inactive,256.30499999999995,2.1628,2.0,3.0,3.3798639450262424
CHEMBL3311531,O=C1C=CC(=O)C(CC(=O)O)=C1,intermediate,166.132,0.09549999999999997,1.0,3.0,5.031517051446065
CHEMBL3580849,CC[C@@H](C)[C@@H](NS(=O)(=O)c1cccc(-c2ccc(Cl)cc2)c1)C(=O)NO,active,396.8960000000001,3.205400000000001,3.0,4.0,6.022276394711152
CHEMBL3580848,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C)cc2)cc1)C(=O)NO,inactive,376.47800000000007,2.8604200000000004,3.0,4.0,4.0
CHEMBL3580830,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1)C(=O)NO,intermediate,380.44100000000003,2.6910999999999996,3.0,4.0,5.017728766960431
CHEMBL3580831,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(C)=O)cc2)cc1)C(=O)NO,inactive,419.5030000000001,2.5103999999999997,4.0,5.0,4.0
CHEMBL3580832,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(OC)cc2)cc1)C(=O)NO,inactive,392.4770000000001,2.5606,3.0,5.0,4.0
CHEMBL3580833,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)NO,inactive,362.451,2.5519999999999996,3.0,4.0,4.557677044254426
CHEMBL3580834,CC[C@H](C)[C@H](NS(=O)(=O)c1cccc(-c2ccc(Cl)cc2)c1)C(=O)NO,intermediate,396.8960000000001,3.205400000000001,3.0,4.0,5.089375595110798
CHEMBL3580835,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc2c(c1)OCCO2)C(=O)NO,inactive,344.38900000000007,0.6562,3.0,6.0,4.682981898951889
CHEMBL3580836,CC[C@H](C)[C@H](NS(=O)(=O)c1ccccc1)C(=O)NO,inactive,286.35299999999995,0.8850000000000002,3.0,4.0,4.0
CHEMBL3580837,CC[C@H](C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,396.8960000000001,3.2054,3.0,4.0,4.926281649653878
CHEMBL3580838,CC[C@@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,396.8960000000001,3.2054,3.0,4.0,4.378927628856374
CHEMBL3580839,CC[C@@H](C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,intermediate,396.8960000000001,3.2054,3.0,4.0,5.1605219526258015
CHEMBL3580840,CC(C)C[C@@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,396.8960000000001,3.2054,3.0,4.0,4.587203571283457
CHEMBL3580841,CC(C)C[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,396.8960000000001,3.2054,3.0,4.0,4.60624935965192
CHEMBL3580842,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,382.869,2.8152999999999997,3.0,4.0,4.418391633967943
CHEMBL3580843,O=C(NO)[C@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,inactive,430.9130000000001,3.402000000000001,3.0,4.0,4.0
CHEMBL3580844,O=C(NO)[C@@H]1CCCN1S(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,inactive,380.85300000000007,2.6655000000000006,2.0,4.0,4.0
CHEMBL3580845,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)O,inactive,381.8810000000001,3.784600000000001,2.0,3.0,4.0
CHEMBL3580846,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(N)=O,inactive,380.8970000000001,3.1853000000000007,2.0,3.0,4.0
CHEMBL3580847,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)C(=O)NO,inactive,396.8960000000001,3.2054,3.0,4.0,4.996108833763089
CHEMBL3604954,O=c1c2cc3c(cc2n(Cc2nc(-c4ccc(C(F)(F)F)cc4)no2)c(=O)n1Cc1nc(-c2ccc(C(F)(F)F)cc2)no1)OCO3,inactive,658.4710000000003,5.126100000000004,0.0,12.0,4.795880017344075
CHEMBL3604953,O=C(COc1ccc(/C=C2\NC(=O)N(Cc3ccccc3F)C2=O)cc1)Nc1ccc(F)cc1,inactive,463.4400000000001,4.075200000000002,2.0,4.0,4.585026652029182
CHEMBL3604952,O=C(COc1cccc(/C=C2\NC(=O)N(Cc3ccccc3F)C2=O)c1)Nc1ccc(F)cc1,inactive,463.4400000000001,4.075200000000002,2.0,4.0,4.301029995663981
CHEMBL3604951,Cc1ccc(-c2nc(SCC(=O)N3CCCC[C@@H]3C)c(S(=O)(=O)c3ccccc3)[nH]2)cc1,inactive,469.63200000000006,4.711020000000004,1.0,5.0,3.7986028756795487
CHEMBL3604950,COc1cccc(CN2C(=O)c3ccccc3[C@@H]2C(=O)NC2CCC(C)CC2)c1,inactive,392.4990000000002,4.087200000000003,1.0,3.0,3.804100347590766
CHEMBL3604949,CC[C@@H]1Oc2ccccc2N(CC(=O)NCCCN2CCC(Cc3ccccc3)CC2)C1=O,inactive,449.59500000000025,3.651600000000003,1.0,4.0,3.812479279163537
CHEMBL3604948,Cc1cc(NC(=S)N(CCCN2CCC[C@@H](C)C2)Cc2cccs2)ccc1Cl,inactive,436.09000000000015,6.030920000000006,1.0,3.0,4.036212172654444
CHEMBL3604947,COC(=O)c1c(C)nc2n(CCN3CCCCC3)c3ccccc3n12,inactive,340.42699999999996,2.8699200000000014,0.0,6.0,4.259637310505756
CHEMBL3604946,O=c1[nH]c2cc3c(cc2c(=O)n1CCc1nc(-c2ccc(C(F)(F)F)cc2)no1)OCO3,inactive,446.34100000000007,2.7300000000000013,1.0,8.0,4.619788758288394
CHEMBL3604945,O=C(COc1ccccc1/C=C1\NC(=O)N(Cc2ccccc2F)C1=O)Nc1ccc(F)cc1,inactive,463.44000000000005,4.075200000000002,2.0,4.0,4.657577319177793
CHEMBL3604944,N=C(N)NCCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CS)C(=O)O,inactive,490.5910000000002,-4.0595599999999985,12.0,8.0,4.508638306165727
CHEMBL4085501,Oc1c(C(Nc2ncccn2)c2ccc(F)cc2F)cc(Cl)c2cccnc12,intermediate,398.8000000000001,4.863500000000002,2.0,5.0,5.657577319177793
CHEMBL4059959,Cc1ccc2ccc(C(Nc3ncccn3)c3ccccc3F)c(O)c2n1,inactive,360.3920000000001,4.379420000000002,2.0,5.0,4.920818753952375
CHEMBL4071334,Cc1ccc2ccc(C(Nc3cccnc3)c3ccccc3F)c(O)c2n1,active,359.4040000000001,4.984420000000003,2.0,4.0,6.154901959985743
CHEMBL3112900,Cc1ccc2ccc(C(Nc3ccccn3)c3ccc(F)cc3)c(O)c2n1,intermediate,359.4040000000001,4.984420000000003,2.0,4.0,5.795880017344075
CHEMBL4068440,Cc1ccc2ccc(C(Nc3cccnc3)c3ccc(F)cc3)c(O)c2n1,active,359.4040000000001,4.984420000000003,2.0,4.0,6.096910013008056
CHEMBL4095785,Cc1ccc2ccc(C(Nc3ncccn3)c3ccc(F)cc3)c(O)c2n1,intermediate,360.3920000000001,4.379420000000002,2.0,5.0,5.376750709602099
CHEMBL4059783,Cc1ccc2ccc(C(Nc3ccccn3)c3ccc(F)cc3F)c(O)c2n1,intermediate,377.3940000000001,5.123520000000003,2.0,4.0,5.568636235841013
CHEMBL4088059,Cc1ccc2ccc(C(Nc3cccnc3)c3ccc(F)cc3F)c(O)c2n1,inactive,377.3940000000001,5.123520000000003,2.0,4.0,4.910094888560602
CHEMBL4087160,Cc1ccc2ccc(C(Nc3ncccn3)c3ccc(F)cc3F)c(O)c2n1,intermediate,378.3820000000001,4.518520000000002,2.0,5.0,5.366531544420414
CHEMBL1945166,Oc1c(C(Nc2ccccn2)c2ccccc2)cc(Cl)c2cccnc12,intermediate,361.83200000000005,5.190300000000002,2.0,4.0,5.823908740944319
CHEMBL4079277,Oc1c(C(Nc2cccnc2)c2ccccc2)cc(Cl)c2cccnc12,intermediate,361.83200000000005,5.190300000000002,2.0,4.0,5.455931955649724
CHEMBL4090577,Oc1c(C(Nc2ncccn2)c2ccccc2)cc(Cl)c2cccnc12,intermediate,362.8200000000001,4.585300000000003,2.0,5.0,5.346787486224656
CHEMBL2442244,Oc1c(C(Nc2ccccn2)c2ccccc2F)cc(Cl)c2cccnc12,intermediate,379.82200000000006,5.329400000000002,2.0,4.0,5.853871964321762
CHEMBL4084638,Oc1c(C(Nc2cccnc2)c2ccccc2F)cc(Cl)c2cccnc12,active,379.82200000000006,5.329400000000002,2.0,4.0,6.154901959985743
CHEMBL4076803,Oc1c(C(Nc2ncccn2)c2ccccc2F)cc(Cl)c2cccnc12,intermediate,380.8100000000001,4.724400000000002,2.0,5.0,5.3979400086720375
CHEMBL4091467,Oc1c(C(Nc2ccccn2)c2ccc(F)cc2)cc(Cl)c2cccnc12,active,379.82200000000006,5.329400000000002,2.0,4.0,6.221848749616356
CHEMBL4061926,Oc1c(C(Nc2cccnc2)c2ccc(F)cc2)cc(Cl)c2cccnc12,intermediate,379.82200000000006,5.329400000000002,2.0,4.0,5.638272163982407
CHEMBL4100165,Oc1c(C(Nc2ncccn2)c2ccc(F)cc2)cc(Cl)c2cccnc12,active,380.8100000000001,4.724400000000002,2.0,5.0,6.154901959985743
CHEMBL4089872,Oc1c(C(Nc2ccccn2)c2ccc(F)cc2F)cc(Cl)c2cccnc12,active,397.81200000000007,5.4685000000000015,2.0,4.0,6.154901959985743
CHEMBL4060854,Oc1c(C(Nc2cccnc2)c2ccc(F)cc2F)cc(Cl)c2cccnc12,active,397.81200000000007,5.4685000000000015,2.0,4.0,6.221848749616356
CHEMBL4098372,Cc1ccc2ccc(C(Nc3ccccn3)c3ccccc3F)c(O)c2n1,intermediate,359.4040000000001,4.984420000000003,2.0,4.0,5.853871964321762
CHEMBL4062693,Cc1ccc2ccc(C(Nc3ncccn3)c3ccccc3)c(O)c2n1,intermediate,342.4020000000001,4.240320000000002,2.0,5.0,5.337242168318426
CHEMBL4099530,Cc1ccc2ccc(C(Nc3cccnc3)c3ccccc3)c(O)c2n1,intermediate,341.4140000000001,4.845320000000004,2.0,4.0,5.853871964321762
CHEMBL1488172,Cc1ccc2ccc(C(Nc3ccccn3)c3ccccc3)c(O)c2n1,active,341.4140000000001,4.845320000000004,2.0,4.0,6.154901959985743
CHEMBL4095202,Oc1c(C(Nc2ncccn2)c2ccc(F)cc2F)ccc2cccnc12,inactive,364.3550000000001,4.210100000000002,2.0,5.0,4.896196279044043
CHEMBL4093118,Oc1c(C(Nc2cccnc2)c2ccc(F)cc2F)ccc2cccnc12,intermediate,363.367,4.815100000000003,2.0,4.0,5.356547323513812
CHEMBL4072352,Oc1c(C(Nc2ccccn2)c2ccc(F)cc2F)ccc2cccnc12,intermediate,363.3670000000001,4.815100000000003,2.0,4.0,5.443697499232712
CHEMBL4085460,Oc1c(C(Nc2ncccn2)c2ccc(F)cc2)ccc2cccnc12,intermediate,346.36500000000007,4.071000000000002,2.0,5.0,5.769551078621726
